,Driver,Position,Stint,Compound,LapNumber,LapTime,TyreLife,LapTimeSeconds,FullName,Color,CumulativeLapTime,SmallestCumulativeLapTime,IntervalToLeader,NormalizedIntervalToLeader
115,NOR,3.0,3.0,MEDIUM,46.0,0 days 00:01:22.216000,5.0,82.216,lando norris,#eeb370,3927.3269999999998,3888.644,38.68299999999999,1.0099476835627021
116,NOR,3.0,3.0,MEDIUM,47.0,0 days 00:01:22.572000,6.0,82.572,lando norris,#eeb370,4009.899,3972.252,37.646999999999935,1.009477495385489
117,NOR,3.0,3.0,MEDIUM,48.0,0 days 00:01:22.518000,7.0,82.518,lando norris,#eeb370,4092.417,4055.739,36.677999999999884,1.009043481348282
118,NOR,2.0,3.0,MEDIUM,49.0,0 days 00:01:22.827000,8.0,82.827,lando norris,#eeb370,4175.244,4139.561,35.68299999999999,1.0086199961783386
119,NOR,2.0,3.0,MEDIUM,50.0,0 days 00:01:22.178000,9.0,82.178,lando norris,#eeb370,4257.422,4223.343,34.07899999999972,1.0080692001573162
120,NOR,2.0,3.0,MEDIUM,51.0,0 days 00:01:22.794000,10.0,82.794,lando norris,#eeb370,4340.216,4309.553,30.663000000000466,1.0071151230765698
121,NOR,2.0,3.0,MEDIUM,52.0,0 days 00:01:23.054000,11.0,83.054,lando norris,#eeb370,4423.2699999999995,4412.276,10.993999999999687,1.0024916845637035
122,NOR,2.0,3.0,MEDIUM,53.0,0 days 00:01:23.375000,12.0,83.375,lando norris,#eeb370,4506.6449999999995,4492.78,13.864999999999782,1.0030860625269877
123,NOR,2.0,3.0,MEDIUM,54.0,0 days 00:01:23.247000,13.0,83.247,lando norris,#eeb370,4589.892,4576.715,13.17699999999968,1.0028791392953242
124,NOR,2.0,3.0,MEDIUM,55.0,0 days 00:01:22.706000,14.0,82.706,lando norris,#eeb370,4672.598,4659.562,13.036000000000058,1.0027976878513474
125,NOR,2.0,3.0,MEDIUM,56.0,0 days 00:01:22.929000,15.0,82.929,lando norris,#eeb370,4755.527,4742.162,13.364999999999782,1.0028183347595463
126,NOR,2.0,3.0,MEDIUM,57.0,0 days 00:01:23.155000,16.0,83.155,lando norris,#eeb370,4838.682,4824.5869999999995,14.095000000000255,1.0029214935910578
127,NOR,2.0,3.0,MEDIUM,58.0,0 days 00:01:23.619000,17.0,83.619,lando norris,#eeb370,4922.301,4907.237,15.064000000000306,1.0030697518787048
128,NOR,2.0,3.0,MEDIUM,59.0,0 days 00:01:23.974000,18.0,83.974,lando norris,#eeb370,5006.275,4989.117,17.157999999999447,1.0034390855135287
129,NOR,2.0,3.0,MEDIUM,60.0,0 days 00:01:23.457000,19.0,83.457,lando norris,#eeb370,5089.732,5070.671,19.060999999999694,1.0037590685729758
130,NOR,2.0,3.0,MEDIUM,61.0,0 days 00:01:23.442000,20.0,83.442,lando norris,#eeb370,5173.174,5152.191,20.983000000000175,1.0040726362823118
131,NOR,2.0,3.0,MEDIUM,62.0,0 days 00:01:23.878000,21.0,83.878,lando norris,#eeb370,5257.052,5233.884,23.167999999999665,1.0044265405958557
132,NOR,2.0,3.0,MEDIUM,63.0,0 days 00:01:23.409000,22.0,83.409,lando norris,#eeb370,5340.461,5315.656,24.80500000000029,1.0046664042970426
133,NOR,2.0,3.0,MEDIUM,64.0,0 days 00:01:23.075000,23.0,83.075,lando norris,#eeb370,5423.536,5397.778,25.75799999999981,1.0047719635746413
134,NOR,2.0,3.0,MEDIUM,65.0,0 days 00:01:22.911000,24.0,82.911,lando norris,#eeb370,5506.447,5480.001,26.445999999999913,1.0048259115281184
135,NOR,2.0,3.0,MEDIUM,66.0,0 days 00:01:22.971000,25.0,82.971,lando norris,#eeb370,5589.418,5561.942,27.475999999999658,1.0049400011722525
136,NOR,2.0,3.0,MEDIUM,67.0,0 days 00:01:23.036000,26.0,83.036,lando norris,#eeb370,5672.454,5643.696,28.75799999999981,1.0050955969279707
137,NOR,2.0,3.0,MEDIUM,68.0,0 days 00:01:23.110000,27.0,83.11,lando norris,#eeb370,5755.564,5725.22,30.34400000000005,1.0053000583383696
138,NOR,2.0,3.0,MEDIUM,69.0,0 days 00:01:23.416000,28.0,83.416,lando norris,#eeb370,5838.98,5806.4,32.57999999999993,1.005611049875999
139,NOR,2.0,3.0,MEDIUM,70.0,0 days 00:01:23.385000,29.0,83.385,lando norris,#eeb370,5922.365,5888.634,33.73099999999977,1.0057281535921574
140,PER,8.0,1.0,HARD,1.0,0 days 00:01:33.068000,4.0,93.068,sergio perez,#716de2,93.068,87.912,5.155999999999992,1.0586495586495586
141,PER,8.0,1.0,HARD,2.0,0 days 00:01:26.770000,5.0,86.77,sergio perez,#716de2,179.838,173.06900000000002,6.768999999999977,1.0391115682184562
142,PER,8.0,1.0,HARD,3.0,0 days 00:01:26.270000,6.0,86.27,sergio perez,#716de2,266.108,258.139,7.968999999999994,1.030870964867765
143,PER,8.0,1.0,HARD,4.0,0 days 00:01:25.702000,7.0,85.702,sergio perez,#716de2,351.81,342.681,9.129000000000019,1.0266399362672574
144,PER,8.0,1.0,HARD,5.0,0 days 00:01:25.832000,8.0,85.832,sergio perez,#716de2,437.642,427.524,10.117999999999995,1.0236665076112685
145,PER,8.0,1.0,HARD,6.0,0 days 00:01:25.650000,9.0,85.65,sergio perez,#716de2,523.292,512.12,11.172000000000025,1.0218151995626026
146,PER,8.0,1.0,HARD,7.0,0 days 00:01:25.445000,10.0,85.445,sergio perez,#716de2,608.737,596.607,12.129999999999995,1.0203316421027577
147,PER,7.0,1.0,HARD,8.0,0 days 00:01:24.836000,11.0,84.836,sergio perez,#716de2,693.573,681.116,12.456999999999994,1.018289102003183
148,PER,7.0,1.0,HARD,9.0,0 days 00:01:25.307000,12.0,85.307,sergio perez,#716de2,778.88,765.553,13.326999999999998,1.0174083309712065
149,PER,7.0,1.0,HARD,10.0,0 days 00:01:25.191000,13.0,85.191,sergio perez,#716de2,864.071,849.958,14.113000000000056,1.0166043498619932
150,PER,7.0,1.0,HARD,11.0,0 days 00:01:25.305000,14.0,85.305,sergio perez,#716de2,949.376,934.42,14.956000000000017,1.0160056505639863
151,PER,7.0,1.0,HARD,12.0,0 days 00:01:25.250000,15.0,85.25,sergio perez,#716de2,1034.626,1018.726,15.899999999999977,1.01560772965449
152,PER,7.0,1.0,HARD,13.0,0 days 00:01:25.077000,16.0,85.077,sergio perez,#716de2,1119.703,1103.081,16.62200000000007,1.015068703023622
153,PER,7.0,1.0,HARD,14.0,0 days 00:01:25.255000,17.0,85.255,sergio perez,#716de2,1204.958,1187.282,17.67600000000016,1.0148877857156093
154,PER,6.0,1.0,HARD,15.0,0 days 00:01:26.256000,18.0,86.256,sergio perez,#716de2,1291.214,1271.403,19.810999999999922,1.0155819987840204
155,PER,6.0,1.0,HARD,16.0,0 days 00:01:24.695000,19.0,84.695,sergio perez,#716de2,1375.9089999999999,1355.776,20.13299999999981,1.0148497981967521
156,PER,5.0,1.0,HARD,17.0,0 days 00:01:24.760000,20.0,84.76,sergio perez,#716de2,1460.6689999999999,1439.99,20.67899999999986,1.014360516392475
157,PER,3.0,1.0,HARD,18.0,0 days 00:01:24.693000,21.0,84.693,sergio perez,#716de2,1545.362,1524.185,21.177000000000135,1.0138939826858289
158,PER,2.0,1.0,HARD,19.0,0 days 00:01:24.567000,22.0,84.567,sergio perez,#716de2,1629.929,1608.581,21.348000000000184,1.0132713242292433
159,PER,2.0,1.0,HARD,20.0,0 days 00:01:24.520000,23.0,84.52,sergio perez,#716de2,1714.449,1692.646,21.80300000000011,1.012881015876917
160,PER,2.0,1.0,HARD,21.0,0 days 00:01:24.538000,24.0,84.538,sergio perez,#716de2,1798.987,1776.658,22.32900000000018,1.0125679787556188
161,PER,2.0,1.0,HARD,22.0,0 days 00:01:24.971000,25.0,84.971,sergio perez,#716de2,1883.958,1861.018,22.940000000000055,1.0123265868465539
162,PER,2.0,1.0,HARD,23.0,0 days 00:01:24.786000,26.0,84.786,sergio perez,#716de2,1968.744,1948.1689999999999,20.575000000000045,1.0105611987461047
163,PER,3.0,1.0,HARD,24.0,0 days 00:01:27.442000,27.0,87.442,sergio perez,#716de2,2056.186,2050.176,6.010000000000218,1.0029314556408817
164,PER,7.0,2.0,MEDIUM,25.0,0 days 00:01:42.542000,7.0,102.542,sergio perez,#716de2,2158.728,2133.953,24.77500000000009,1.0116099089342643
165,PER,7.0,2.0,MEDIUM,26.0,0 days 00:01:23.628000,8.0,83.628,sergio perez,#716de2,2242.3559999999998,2217.67,24.685999999999694,1.011131502883657
166,PER,6.0,2.0,MEDIUM,27.0,0 days 00:01:25.650000,9.0,85.65,sergio perez,#716de2,2328.006,2301.306,26.699999999999818,1.0116021076727735
167,PER,5.0,2.0,MEDIUM,28.0,0 days 00:01:23.973000,10.0,83.973,sergio perez,#716de2,2411.979,2384.993,26.985999999999876,1.0113149179054193
168,PER,5.0,2.0,MEDIUM,29.0,0 days 00:01:23.195000,11.0,83.195,sergio perez,#716de2,2495.174,2468.755,26.41899999999987,1.0107013454149967
169,PER,5.0,2.0,MEDIUM,30.0,0 days 00:01:23.086000,12.0,83.086,sergio perez,#716de2,2578.2599999999998,2552.379,25.880999999999858,1.0101399517861571
170,PER,5.0,2.0,MEDIUM,31.0,0 days 00:01:23.346000,13.0,83.346,sergio perez,#716de2,2661.6059999999998,2635.969,25.636999999999716,1.0097258351672571
171,PER,5.0,2.0,MEDIUM,32.0,0 days 00:01:23.679000,14.0,83.679,sergio perez,#716de2,2745.285,2719.261,26.023999999999887,1.0095702472105472
